Language,BERTbase,mBERT,MARBERT,IndicBERT,GermanBERT,SpaBERTa,CamemBERT,GreekBERT,Mixtral,Mistral,Falcon,Phi_Mini,Phi_MOE,Gemma,LLAMA,Llama3,SILMA,Meltemi,BloomZ,Bloom,NLLB,mT5,FlanT5,ByT5,CANINE,BLOOM,ArabicBERT
Marathi,0.4222905159405845,0.0,0.9697147764769697,0.3281386249301286,0.9635607396356074,0.0,0.8302389229972631,0.9636248473057956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62829358039293e-05,0.0,0.0,0.0,0.0,0.002152768771884321,0.002120292561469032,0.8302342786683107,0.0,0.0,0.0,0.9473843624248194
Basque,0.0,0.0,0.0,8.665511265164645e-05,0.0,0.0,0.00028698764264974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013442597523459917,7.316716257743525e-05,0.00018789657016491537,0.0,0.0,0.0,0.0
Estonian,0.0,0.0,0.0,0.0004038772213247173,0.08193127848174284,0.0,0.028890752563027366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9859789883423033e-05,0.0,0.0,0.0,0.0,0.001127554615926709,0.0,0.010714038847031175,0.0,0.0,0.0,0.0
Standard Malay,0.0,0.0,0.0,9.119261704572398e-05,0.0,0.0,0.00026876301820869447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012644385209486706,8.030408480111356e-05,0.00018930568499534017,0.0,0.0,0.0,0.0
Assamese,0.6720611373342325,0.0698521995239184,0.9747790472084501,0.28378740141265624,0.9658683926645092,0.0,0.823681262481126,0.967121159820504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016243630391230845,0.0,0.0,0.0,0.0,0.0,0.0,0.8236640849529934,0.0,0.0,0.0,0.9671134864876514
Gujarati,0.9597915115413254,0.0,0.9670247933884297,0.3163272350707629,0.9600214982636018,0.0,0.8037402106400217,0.9599354998759613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010081080691850167,0.0,0.0,0.0,0.0,0.0009213014595354701,0.0008951472689401112,0.8037370553804593,0.0,0.0,0.0,0.9599123858329545
Georgian,0.9366303288132589,0.0,0.9557128128221951,0.8463678270545223,0.9592373438527285,0.0,0.8464002117522499,0.9557152249459941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7591865120387947e-06,0.0,0.0,0.0,0.0,0.001715931607868772,0.0,0.8456302966101695,0.0,0.0,0.0,0.9556377945378741
Kannada,0.9658641942790919,0.003282413836636788,0.9681180734282263,0.34307036247334755,0.9660107334525939,0.0,0.8533091773764366,0.9660740584893751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012043639504798767,0.0,0.0,0.0,0.0,0.004382393792806169,0.004317468187076516,0.8532918023502761,0.0,0.0,0.0,0.9659735349716446
Malayalam,0.9641802471836377,0.0,0.9693448971799488,0.3539313871723844,0.9644789332750423,0.0,0.8708151273165586,0.9643305839296444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.744791730782646e-05,0.0,0.0,0.0,0.0,0.0013126804935678655,0.001204107099853318,0.8708170033162497,0.0,0.0,0.0,0.9643110504774898
Nepali,0.5297587971180955,0.0,0.9682304450516371,0.30687299035369775,0.9707863081138823,0.0,0.8292296915133747,0.9680860933296224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013366005791935842,4.0534241300338463e-05,0.8292322068213673,0.0,0.0,0.0,0.9433979029678337
Odia,0.9552450654247061,0.9564425894680757,0.9729143615844213,0.3125695216907675,0.9720635763935007,0.0,0.8325223132412275,0.9709413067552602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.748134881497661e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.832530385659436,0.0,0.0,0.0,0.9708913957089139
Eastern Panjabi,0.9483698412161018,0.03595019120761038,0.9681976410152422,0.3012242552815345,0.967828146143437,0.0,0.782547934484879,0.9663734776725305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8258698969499443e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.7825365762743454,0.0,0.0,0.0,0.9662758084682188
Tamil,0.9219555412371134,0.0,0.9682930431785732,0.3513909224011713,0.963366531900207,0.0,0.8627375378683558,0.9633172270979193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.699340743948799e-05,0.0,0.0,0.0,0.0,0.0007373441784372912,0.0007037792948131466,0.8627186337969976,0.0,0.0,0.0,0.9629046541375578
Telugu,0.9479740601687064,0.004615837889154418,0.9571366510595163,0.3576526729333361,0.9483285624181262,0.0,0.8285283993115319,0.9482181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010207704597905202,0.0,0.0,0.0,0.0,0.0022141310765597323,0.002098768023170399,0.8285344897244593,0.0,0.0,0.0,0.9481313812367559
Burmese,0.9797576521678224,0.0,0.9855975626644509,0.9209306552758338,0.9800027870680045,0.0,0.9209976376521897,0.979891455608127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026818500639518093,0.00022795486493674253,0.920937840785169,0.0,0.0,0.0,0.9798565121412803
Swahili,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.825188868700392e-05,0.0,0.0,0.0,0.0,0.0005493552304400625,0.0,0.0,0.0,0.0,0.0,0.0
Portuguese,0.0,0.0,0.0,0.0005413073505805055,0.17317978604502635,0.0,0.016242836676217766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.499000399840064e-05,0.0,0.0,0.0,0.0,0.0006427992509991336,0.000551774875850653,0.011248251960843923,0.0,0.0,0.0,0.0
Haitian Creole,0.0,0.0,0.0,0.000258732212160414,0.15527131133813432,0.0,0.008224925018860286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1791714790036827e-05,0.0,0.0,0.0,0.0,0.0005049304978020673,0.00021946402009315029,0.008165637486378496,0.0,0.0,0.0,0.0
Ayacucho Quechua,0.0,0.0,0.0,0.0,0.08889789303079416,0.0,0.005057905932403687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7845033727113746e-05,0.0,0.0,0.0,0.0,0.0012273075939657377,0.0,0.004026026312030026,0.0,0.0,0.0,0.0
North Azerbaijani,0.0,0.0,0.4251202633133598,0.11187878943253048,0.6739427417438821,0.0,0.1502714466509752,0.6015515776200006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034329712366052816,0.000307462555453068,0.11753280684630325,0.0,0.0,0.0,0.0
Central Kurdish,0.8015555100728049,0.7390140385243226,0.0,0.3145856410966491,0.9775971093044263,0.0,0.831730174822581,0.9776733254994124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.796159940348588e-05,0.0,0.0,0.0,0.0,7.503751875937968e-05,8.483491126268282e-05,0.8317174515235457,0.0,0.0,0.0,0.05585640774320019
Standard Latvian,0.016755354237213596,0.0,0.0,0.00023749931490582238,0.5626051498474436,0.0,0.09028172089975978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006877768301741451,4.5701750377039444e-05,0.09006790447047923,0.0,0.0,0.0,0.0
Ligurian,0.0,0.0,0.024644337403382996,3.3966237559865496e-05,0.21802120141342757,0.0,0.017236351854851773,0.02459368819330983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.872974845947819e-05,0.0,0.0,0.0,0.0,0.007750515001325746,3.4933887617683536e-05,0.0169466879932319,0.0,0.0,0.0,0.0
Northern Sotho,0.0,0.0,0.0,4.89564124740939e-05,0.1569477990831567,0.0,0.02491962651325201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.696969696969698e-05,5.661872947571056e-05,0.024812048134892992,0.0,0.0,0.0,0.0
